CR,Lms,Morphology,SSA,Molarity,Cation,Anion,CD,Cs,Cs_Class
1.39,2.56,1,64.8,2.0,1,1,1.0,431.82,V
1.39,2.56,1,64.8,2.0,1,1,2.0,398.88,IV
1.39,2.56,1,64.8,2.0,1,1,3.0,312.18,IV
1.39,2.56,1,64.8,2.0,1,1,5.0,272.0,III
1.39,2.56,1,64.8,2.0,1,1,7.0,230.7,III
1.39,2.56,1,64.8,2.0,1,1,8.0,156.88,II
1.39,2.56,1,64.8,2.0,1,1,10.0,126.2,II
1.39,2.56,2,27.4,2.0,1,1,1.0,112.72,II
1.39,2.56,2,27.4,2.0,1,1,2.0,104.95,II
1.39,2.56,2,27.4,2.0,1,1,3.0,67.76,I
1.39,2.56,2,27.4,2.0,1,1,5.0,67.0,I
1.39,2.56,2,27.4,2.0,1,1,7.0,44.24,I
1.39,2.56,2,27.4,2.0,1,1,8.0,35.36,I
1.39,2.56,2,27.4,2.0,1,1,10.0,28.8,I
1.39,2.56,3,32.9,2.0,1,1,1.0,390.38,IV
1.39,2.56,3,32.9,2.0,1,1,2.0,366.24,IV
1.39,2.56,3,32.9,2.0,1,1,3.0,247.2,III
1.39,2.56,3,32.9,2.0,1,1,5.0,240.3,III
1.39,2.56,3,32.9,2.0,1,1,7.0,171.52,II
1.39,2.56,3,32.9,2.0,1,1,8.0,121.04,II
1.39,2.56,3,32.9,2.0,1,1,10.0,100.4,II
1.39,2.56,2,17.5,3.5,1,1,1.0,89.4,I
1.39,2.56,2,17.5,3.5,1,1,2.0,71.3,I
1.39,2.56,2,17.5,3.5,1,1,4.0,64.9,I
1.39,2.56,2,17.5,3.5,1,1,10.0,50.6,I
1.39,2.56,1,10.68,1.0,1,2,1.0,125.0,II
1.39,2.56,3,52.44,2.0,1,1,1.0,464.0,V
1.39,2.56,3,52.44,2.0,1,1,1.5,440.0,V
1.39,2.56,3,52.44,2.0,1,1,2.0,424.0,V
1.39,2.56,3,52.44,2.0,1,1,2.5,408.0,V
1.39,2.56,3,52.44,2.0,1,1,3.0,400.0,V
1.39,2.56,3,52.44,2.0,1,1,5.0,320.0,IV
1.39,2.56,4,25.0,1.0,2,3,1.0,45.65,I
1.39,2.56,4,25.0,1.0,3,3,1.0,18.4,I
1.39,2.56,4,25.0,1.0,1,1,1.0,62.85,I
1.39,2.56,1,42.0,1.0,2,3,1.0,112.0,II
1.39,2.56,1,42.0,1.0,3,3,1.0,19.74,I
1.39,2.56,1,42.0,1.0,1,1,1.0,89.14,I
1.39,2.56,4,72.4,1.0,3,1,3.0,165.2,II
1.39,2.56,4,72.4,1.0,3,1,3.5,160.0,II
1.39,2.56,4,72.4,1.0,3,1,5.0,131.3,II
1.39,2.56,4,72.4,1.0,3,1,10.0,122.0,II
1.39,2.56,4,72.4,1.0,3,1,20.0,108.0,II
1.26,2.26,5,127.6,2.0,1,1,1.0,1301.0,XIV
1.26,2.26,5,127.6,2.0,1,1,2.5,1073.0,XI
1.26,2.26,5,127.6,2.0,1,1,5.0,883.0,IX
1.26,2.26,5,127.6,2.0,1,1,10.0,650.0,VII
1.26,2.26,5,127.6,2.0,1,1,20.0,450.0,V
1.26,2.26,4,21.0,2.0,1,1,2.0,624.0,VII
1.26,2.26,1,66.416,2.0,1,1,1.0,718.7,VIII
1.26,2.26,1,66.416,2.0,1,1,2.0,696.7,VII
1.26,2.26,1,66.416,2.0,1,1,5.0,620.8,VII
1.26,2.26,1,66.416,2.0,1,1,10.0,536.7,VI
1.26,2.26,1,66.416,2.0,1,1,20.0,476.7,V
1.26,2.26,3,29.3,6.0,1,1,0.5,654.0,VII
1.26,2.26,3,29.3,6.0,1,1,1.0,595.0,VI
