CR,Lms,SSA,Rct,PW,CD,Cs
1.39,2.56,64.8,0.5,0.5,1.0,431.82
1.39,2.56,64.8,0.5,0.5,2.0,398.88
1.39,2.56,64.8,0.5,0.5,3.0,312.18
1.39,2.56,64.8,0.5,0.5,5.0,272.0
1.39,2.56,64.8,0.5,0.5,7.0,230.7
1.39,2.56,64.8,0.5,0.5,8.0,156.88
1.39,2.56,64.8,0.5,0.5,10.0,126.2
1.39,2.56,27.4,0.5,0.5,1.0,112.72
1.39,2.56,27.4,0.5,0.5,2.0,104.95
1.39,2.56,27.4,0.5,0.5,3.0,67.76
1.39,2.56,27.4,0.5,0.5,5.0,67.0
1.39,2.56,27.4,0.5,0.5,7.0,44.24
1.39,2.56,27.4,0.5,0.5,8.0,35.36
1.39,2.56,27.4,0.5,0.5,10.0,28.8
1.39,2.56,32.9,0.6,0.5,1.0,390.38
1.39,2.56,32.9,0.6,0.5,2.0,366.24
1.39,2.56,32.9,0.6,0.5,3.0,247.2
1.39,2.56,32.9,0.6,0.5,5.0,240.3
1.39,2.56,32.9,0.6,0.5,7.0,171.52
1.39,2.56,32.9,0.6,0.5,8.0,121.04
1.39,2.56,32.9,0.6,0.5,10.0,100.4
1.39,2.56,17.5,3.270620150538396,0.5,1.0,89.4
1.39,2.56,17.5,3.2699578487892245,0.5,2.0,71.3
1.39,2.56,17.5,3.268633245290881,0.5,4.0,64.9
1.39,2.56,17.5,3.26465943479585,0.5,10.0,50.6
1.39,2.56,35.466064872900525,3.56,0.32,0.08,524.5
1.39,2.56,35.46605976128573,3.56,0.32,0.15,285.0
1.39,2.56,35.466053919440235,3.56,0.32,0.23,239.7
1.39,2.56,35.46604807759474,3.56,0.32,0.31,217.9
1.39,2.56,35.466042965979945,3.56,0.32,0.38,215.9
1.39,2.56,10.68,3.69,0.8,1.0,125.0
1.39,2.56,52.44,2.13,0.45,1.0,464.0
1.39,2.56,52.44,2.13,0.45,1.5,440.0
1.39,2.56,52.44,2.13,0.45,2.0,424.0
1.39,2.56,52.44,2.13,0.45,2.5,408.0
1.39,2.56,52.44,2.13,0.45,3.0,400.0
1.39,2.56,52.44,2.13,0.45,5.0,320.0
1.39,2.56,25.0,3.262712823719827,1.0,1.0,45.65
1.39,2.56,25.0,3.262712823719827,1.0,1.0,18.4
1.39,2.56,25.0,3.262712823719827,1.0,1.0,62.85
1.39,2.56,42.0,3.24476223815721,1.0,1.0,112.0
1.39,2.56,42.0,3.24476223815721,1.0,1.0,19.74
1.39,2.56,42.0,3.24476223815721,1.0,1.0,89.14
1.39,2.56,72.4,3.2113329443397407,0.8,3.0,165.2
1.39,2.56,72.4,3.211001793465155,0.8,3.5,160.0
1.39,2.56,72.4,3.210008340841397,0.8,5.0,131.3
1.39,2.56,72.4,3.2066968320955382,0.8,10.0,122.0
1.39,2.56,72.4,3.2000738146038206,0.8,20.0,108.0
1.26,2.26,127.6,8.2,0.6,1.0,1301.0
1.26,2.26,127.6,8.2,0.6,2.5,1073.0
1.26,2.26,127.6,8.2,0.6,5.0,883.0
1.26,2.26,127.6,8.2,0.6,10.0,650.0
1.26,2.26,127.6,8.2,0.6,20.0,450.0
1.26,2.26,17.46,3.2706650025185713,0.6,1.0,236.5
1.26,2.26,17.46,3.2700027007693997,0.6,2.0,225.3
1.26,2.26,17.46,3.268015795521884,0.6,5.0,203.3
1.26,2.26,17.46,3.264704286776025,0.6,10.0,175.0
1.26,2.26,17.46,3.2613927780301664,0.6,15.0,152.5
1.26,2.26,21.0,3.2662671651381716,0.7,2.0,624.0
1.26,2.26,66.416,0.18,0.6,1.0,718.7
1.26,2.26,66.416,0.18,0.6,2.0,696.7
1.26,2.26,66.416,0.18,0.6,5.0,620.8
1.26,2.26,66.416,0.18,0.6,10.0,536.7
1.26,2.26,66.416,0.18,0.6,20.0,476.7
1.26,2.26,29.3,1.3,0.65,0.5,654.0
1.26,2.26,29.3,1.3,0.65,1.0,595.0
1.26,2.26,29.3,1.3,0.65,5.0,499.0
1.26,2.26,36.31,3.251087302088633,0.4,0.5,996.16
1.26,2.26,36.31,3.250756151214047,0.4,1.0,986.95
1.26,2.26,36.31,3.2500938494648755,0.4,2.0,979.9
1.26,2.26,36.31,3.2494315477157034,0.4,3.0,972.75
1.26,2.26,36.31,3.248769245966532,0.4,4.0,966.0
1.26,2.26,36.31,3.24810694421736,0.4,5.0,957.5
1.26,2.26,113.9,1.02,0.5,1.0,936.0
1.26,2.26,113.9,1.02,0.5,2.0,883.2
1.26,2.26,113.9,1.02,0.5,5.0,810.0
1.26,2.26,113.9,1.02,0.5,10.0,746.0
1.26,2.26,113.9,1.02,0.5,20.0,686.4
1.26,2.26,56.6,0.45,0.5,0.5,568.0
1.26,2.26,56.6,0.45,0.5,1.0,499.0
1.26,2.26,56.6,0.45,0.5,2.0,421.0
1.26,2.26,56.6,0.45,0.5,5.0,372.0
1.26,2.26,67.08,3.218268001178698,0.5,1.0,426.6
1.26,2.26,67.08,3.212307285436152,0.5,10.0,404.8
1.24,2.36,201.38,3.076457351788938,0.5,1.0,951.6
1.24,2.36,201.38,3.070496636046392,0.5,10.0,555.4
1.24,2.36,24.2,0.61,0.55,5.0,1725.0
1.24,2.36,24.2,0.61,0.55,10.0,1584.0
1.24,2.36,24.2,0.61,0.55,15.0,1489.0
1.24,2.36,24.2,0.61,0.55,20.0,1411.0
1.24,2.36,24.2,0.61,0.55,30.0,1293.0
1.24,2.36,24.2,0.61,0.55,40.0,1193.0
1.24,2.36,19.93,0.11,0.55,2.0,1072.6
1.24,2.36,19.93,0.11,0.55,3.0,912.7
1.24,2.36,19.93,0.11,0.55,5.0,744.6
1.24,2.36,19.93,0.11,0.55,7.0,618.5
1.24,2.36,19.93,0.11,0.55,10.0,480.7
1.24,2.36,6.31,1.288,0.55,1.0,352.2
1.24,2.36,6.31,1.288,0.55,2.0,265.7
1.24,2.36,6.31,1.288,0.55,5.0,183.6
1.24,2.36,6.31,1.288,0.55,10.0,139.5
1.24,2.36,6.31,1.288,0.55,20.0,106.8
1.24,2.36,6.31,1.288,0.55,50.0,75.9
1.24,2.36,66.5,4.27,0.45,0.5,566.0
1.24,2.36,66.5,4.27,0.45,1.0,536.9
1.24,2.36,66.5,4.27,0.45,2.0,382.7
1.24,2.36,66.5,4.27,0.45,4.0,218.6
1.24,2.36,66.5,4.27,0.45,6.0,112.9
1.24,2.36,66.5,4.27,0.45,8.0,47.8
1.24,2.36,66.5,4.27,0.45,10.0,28.8
1.24,2.36,11.41,0.8,0.6,1.0,1355.0
1.24,2.36,11.41,0.8,0.6,2.0,1240.0
1.24,2.36,11.41,0.8,0.6,5.0,1133.0
1.24,2.36,11.41,0.8,0.6,10.0,1050.0
1.24,2.36,11.41,0.8,0.6,15.0,1000.0
1.24,2.36,11.41,0.8,0.6,20.0,967.0
1.24,2.36,31.2,14.83,0.5,1.0,565.0
1.24,2.36,31.2,14.83,0.5,4.0,543.7
1.24,2.36,31.2,14.83,0.5,8.0,500.7
1.24,2.36,31.2,14.83,0.5,10.0,486.3
1.24,2.36,31.2,14.83,0.5,20.0,400.7
1.24,2.36,59.2,0.24,0.55,1.0,1020.2
1.24,2.36,59.2,0.24,0.55,2.0,821.2
1.24,2.36,59.2,0.24,0.55,3.0,728.7
1.24,2.36,59.2,0.24,0.55,5.0,643.6
1.24,2.36,59.2,0.24,0.55,7.0,601.8
1.24,2.36,59.2,0.24,0.55,10.0,534.9
1.22,2.42,5.5,3.2832895994494624,0.5,1.0,152.0
1.22,2.42,5.5,3.282627297700291,0.5,2.0,145.0
1.22,2.42,5.5,3.2806403924527756,0.5,5.0,136.0
1.22,2.42,5.5,3.2773288837069168,0.5,10.0,120.0
1.22,2.42,5.5,3.2740173749610575,0.5,15.0,90.0
1.22,2.42,11.17,4.87,1.0,0.2,22.4
1.22,2.42,11.17,4.87,1.0,0.4,15.4
1.22,2.42,11.17,4.87,1.0,0.6,12.6
1.22,2.42,11.17,4.87,1.0,0.8,7.8
1.22,2.42,11.17,4.87,1.0,1.0,7.6
1.5,2.41,16.64,3.2716989656792492,0.6,0.75,241.5
1.5,2.41,16.64,3.2715333902419563,0.6,1.0,208.13
1.5,2.41,16.64,3.2708710884927843,0.6,2.0,177.8
1.5,2.41,16.64,3.2702087867436127,0.6,3.0,167.85
1.5,2.41,16.64,3.2695464849944407,0.6,4.0,160.06
1.5,2.41,16.64,3.268884183245269,0.6,5.0,155.08
1.5,2.41,16.64,3.2682218814960975,0.6,6.0,150.0
1.5,2.41,16.64,3.2675595797469255,0.6,7.0,147.58
1.5,2.41,16.64,3.2655726744994102,0.6,10.0,139.0
1.5,2.41,5.24,3.2835696368203937,0.55,1.0,261.8
1.5,2.41,5.24,3.283238485945808,0.55,1.5,220.9
1.5,2.41,5.24,3.282907335071222,0.55,2.0,163.6
1.5,2.41,5.24,3.282576184196636,0.55,2.5,86.3
1.5,2.41,5.24,3.28224503332205,0.55,3.0,65.4
1.5,2.41,39.89,1.8,0.9,0.5,156.0
1.5,2.41,39.89,1.8,0.9,0.8,113.3
1.5,2.41,39.89,1.8,0.9,1.0,95.6
1.5,2.41,39.89,1.8,0.9,3.0,74.3
1.5,2.41,39.89,1.8,0.9,5.0,69.6
1.5,2.41,12.8,9.2,0.8,0.25,243.8
1.5,2.41,12.8,9.2,0.8,0.5,236.0
1.5,2.41,12.8,9.2,0.8,1.0,228.2
1.5,2.41,12.8,9.2,0.8,2.0,220.0
1.5,2.41,12.8,9.2,0.8,5.0,208.0
1.5,2.41,3.63,9.87,0.55,0.2,264.8
1.5,2.41,3.63,9.87,0.55,0.5,244.9
1.5,2.41,3.63,9.87,0.55,1.0,220.7
1.5,2.41,3.63,9.87,0.55,2.0,205.5
1.5,2.41,3.63,9.87,0.55,4.0,175.4
1.5,2.41,3.63,9.87,0.55,10.0,134.5
1.54,2.41,19.6,4.6,0.5,1.0,91.0
1.54,2.41,19.6,4.6,0.5,2.0,83.0
1.54,2.41,19.6,4.6,0.5,3.0,72.0
1.54,2.41,19.6,4.6,0.5,5.0,65.0
1.54,2.41,19.6,4.6,0.5,7.0,60.0
