EN,CR,MorphoNo,SSA,M,CationNo,AnionNo,CD,Cs
1.96,1.39,4,64.8,2.0,1,1,1.0,431.82
1.96,1.39,4,64.8,2.0,1,1,2.0,398.88
1.96,1.39,4,64.8,2.0,1,1,3.0,312.18
1.96,1.39,4,64.8,2.0,1,1,5.0,272.0
1.96,1.39,4,64.8,2.0,1,1,7.0,230.7
1.96,1.39,4,64.8,2.0,1,1,8.0,156.88
1.96,1.39,4,64.8,2.0,1,1,10.0,126.2
1.96,1.39,2,27.4,2.0,1,1,1.0,112.72
1.96,1.39,2,27.4,2.0,1,1,2.0,104.95
1.96,1.39,2,27.4,2.0,1,1,3.0,67.76
1.96,1.39,2,27.4,2.0,1,1,5.0,67.0
1.96,1.39,2,27.4,2.0,1,1,7.0,44.24
1.96,1.39,2,27.4,2.0,1,1,8.0,35.36
1.96,1.39,2,27.4,2.0,1,1,10.0,28.8
1.96,1.39,3,32.9,2.0,1,1,1.0,390.38
1.96,1.39,3,32.9,2.0,1,1,2.0,366.24
1.96,1.39,3,32.9,2.0,1,1,3.0,247.2
1.96,1.39,3,32.9,2.0,1,1,5.0,240.3
1.96,1.39,3,32.9,2.0,1,1,7.0,171.52
1.96,1.39,3,32.9,2.0,1,1,8.0,121.04
1.96,1.39,3,32.9,2.0,1,1,10.0,100.4
1.96,1.39,2,17.5,3.5,1,1,1.0,89.4
1.96,1.39,2,17.5,3.5,1,1,2.0,71.3
1.96,1.39,2,17.5,3.5,1,1,4.0,64.9
1.96,1.39,2,17.5,3.5,1,1,10.0,50.6
1.96,1.39,4,10.68,1.0,1,3,1.0,125.0
1.96,1.39,4,52.44,2.0,1,1,1.0,464.0
1.96,1.39,4,52.44,2.0,1,1,1.5,440.0
1.96,1.39,4,52.44,2.0,1,1,2.0,424.0
1.96,1.39,4,52.44,2.0,1,1,2.5,408.0
1.96,1.39,4,52.44,2.0,1,1,3.0,400.0
1.96,1.39,4,52.44,2.0,1,1,5.0,320.0
1.96,1.39,3,25.0,1.0,3,2,1.0,45.65
1.96,1.39,3,25.0,1.0,2,2,1.0,18.4
1.96,1.39,3,25.0,1.0,1,1,1.0,62.85
1.96,1.39,4,42.0,1.0,3,2,1.0,112.0
1.96,1.39,4,42.0,1.0,2,2,1.0,19.74
1.96,1.39,4,42.0,1.0,1,1,1.0,89.14
1.96,1.39,1,72.4,1.0,2,1,3.0,165.2
1.96,1.39,1,72.4,1.0,2,1,3.5,160.0
1.96,1.39,1,72.4,1.0,2,1,5.0,131.3
1.96,1.39,1,72.4,1.0,2,1,10.0,122.0
1.96,1.39,1,72.4,1.0,2,1,20.0,108.0
1.96,1.39,2,44.6,2.0,1,1,1.0,85.4
1.96,1.39,2,44.6,2.0,1,1,2.0,47.7
1.96,1.39,2,44.6,2.0,1,1,3.0,32.5
1.96,1.39,2,44.6,2.0,1,1,4.0,17.0
1.96,1.39,2,44.6,2.0,1,1,5.0,14.8
1.96,1.39,3,78.22,2.0,1,1,0.3,124.79
1.96,1.39,3,78.22,2.0,1,1,0.5,121.18
1.96,1.39,3,78.22,2.0,1,1,1.0,106.53
1.96,1.39,3,78.22,2.0,1,1,3.0,77.42
