Metal,Morphology_Categorized,SSA,Dap,Rct,Molarity,Cation,Anion,CD,Cs
Sn,flower,64.8,7.5,0.5,2.0,K,OH,1.0,431.82
Sn,flower,64.8,7.5,0.5,2.0,K,OH,2.0,398.88
Sn,flower,64.8,7.5,0.5,2.0,K,OH,3.0,312.18
Sn,flower,64.8,7.5,0.5,2.0,K,OH,5.0,272.0
Sn,flower,64.8,7.5,0.5,2.0,K,OH,7.0,230.7
Sn,flower,64.8,7.5,0.5,2.0,K,OH,8.0,156.88
Sn,flower,64.8,7.5,0.5,2.0,K,OH,10.0,126.2
Sn,Nanosheet/Sheet,27.4,15.9,0.5,2.0,K,OH,1.0,112.72
Sn,Nanosheet/Sheet,27.4,15.9,0.5,2.0,K,OH,2.0,104.95
Sn,Nanosheet/Sheet,27.4,15.9,0.5,2.0,K,OH,3.0,67.76
Sn,Nanosheet/Sheet,27.4,15.9,0.5,2.0,K,OH,5.0,67.0
Sn,Nanosheet/Sheet,27.4,15.9,0.5,2.0,K,OH,7.0,44.24
Sn,Nanosheet/Sheet,27.4,15.9,0.5,2.0,K,OH,8.0,35.36
Sn,Nanosheet/Sheet,27.4,15.9,0.5,2.0,K,OH,10.0,28.8
Sn,Nanoparticles/Regular Shapes,32.9,5.1,0.6,2.0,K,OH,1.0,390.38
Sn,Nanoparticles/Regular Shapes,32.9,5.1,0.6,2.0,K,OH,2.0,366.24
Sn,Nanoparticles/Regular Shapes,32.9,5.1,0.6,2.0,K,OH,3.0,247.2
Sn,Nanoparticles/Regular Shapes,32.9,5.1,0.6,2.0,K,OH,5.0,240.3
Sn,Nanoparticles/Regular Shapes,32.9,5.1,0.6,2.0,K,OH,7.0,171.52
Sn,Nanoparticles/Regular Shapes,32.9,5.1,0.6,2.0,K,OH,8.0,121.04
Sn,Nanoparticles/Regular Shapes,32.9,5.1,0.6,2.0,K,OH,10.0,100.4
Sn,Nanosheet/Sheet,17.5,,,3.5,K,OH,1.0,89.4
Sn,Nanosheet/Sheet,17.5,,,3.5,K,OH,2.0,71.3
Sn,Nanosheet/Sheet,17.5,,,3.5,K,OH,4.0,64.9
Sn,Nanosheet/Sheet,17.5,,,3.5,K,OH,10.0,50.6
Sn,flower,,,3.56,1.0,K,Cl,0.08,524.5
Sn,flower,,,3.56,1.0,K,Cl,0.15,285.0
Sn,flower,,,3.56,1.0,K,Cl,0.23,239.7
Sn,flower,,,3.56,1.0,K,Cl,0.31,217.9
Sn,flower,,,3.56,1.0,K,Cl,0.38,215.9
Sn,flower,10.68,,3.69,1.0,K,Cl,1.0,125.0
Sn,Nanoparticles/Regular Shapes,52.44,12.6,2.13,2.0,K,OH,1.0,464.0
Sn,Nanoparticles/Regular Shapes,52.44,12.6,2.13,2.0,K,OH,1.5,440.0
Sn,Nanoparticles/Regular Shapes,52.44,12.6,2.13,2.0,K,OH,2.0,424.0
Sn,Nanoparticles/Regular Shapes,52.44,12.6,2.13,2.0,K,OH,2.5,408.0
Sn,Nanoparticles/Regular Shapes,52.44,12.6,2.13,2.0,K,OH,3.0,400.0
Sn,Nanoparticles/Regular Shapes,52.44,12.6,2.13,2.0,K,OH,5.0,320.0
Sn,Others,25.0,6.08,,1.0,Li,SO4,1.0,45.65
Sn,Others,25.0,6.08,,1.0,Na,SO4,1.0,18.4
Sn,Others,25.0,6.08,,1.0,K,OH,1.0,62.85
Sn,flower,42.0,7.62,,1.0,Li,SO4,1.0,112.0
Sn,flower,42.0,7.62,,1.0,Na,SO4,1.0,19.74
Sn,flower,42.0,7.62,,1.0,K,OH,1.0,89.14
Sn,Others,72.4,,,1.0,Na,OH,3.0,165.2
Sn,Others,72.4,,,1.0,Na,OH,3.5,160.0
Sn,Others,72.4,,,1.0,Na,OH,5.0,131.3
Sn,Others,72.4,,,1.0,Na,OH,10.0,122.0
Sn,Others,72.4,,,1.0,Na,OH,20.0,108.0
Co,Hollow Structures,127.6,,8.2,2.0,K,OH,1.0,1301.0
Co,Hollow Structures,127.6,,8.2,2.0,K,OH,2.5,1073.0
Co,Hollow Structures,127.6,,8.2,2.0,K,OH,5.0,883.0
Co,Hollow Structures,127.6,,8.2,2.0,K,OH,10.0,650.0
Co,Hollow Structures,127.6,,8.2,2.0,K,OH,20.0,450.0
Co,Others,21.0,,,2.0,K,OH,2.0,624.0
Co,flower,66.416,,0.18,2.0,K,OH,1.0,718.7
Co,flower,66.416,,0.18,2.0,K,OH,2.0,696.7
Co,flower,66.416,,0.18,2.0,K,OH,5.0,620.8
Co,flower,66.416,,0.18,2.0,K,OH,10.0,536.7
Co,flower,66.416,,0.18,2.0,K,OH,20.0,476.7
Co,Nanoparticles/Regular Shapes,29.3,,1.3,6.0,K,OH,0.5,654.0
Co,Nanoparticles/Regular Shapes,29.3,,1.3,6.0,K,OH,1.0,595.0
Co,Nanoparticles/Regular Shapes,29.3,,1.3,6.0,K,OH,5.0,499.0
Co,Others,36.31,53.25,,6.0,K,OH,0.5,996.16
Co,Others,36.31,53.25,,6.0,K,OH,1.0,986.95
Co,Others,36.31,53.25,,6.0,K,OH,2.0,979.9
Co,Others,36.31,53.25,,6.0,K,OH,3.0,972.75
Co,Others,36.31,53.25,,6.0,K,OH,4.0,966.0
Co,Others,36.31,53.25,,6.0,K,OH,5.0,957.5
Co,Hollow Structures,113.9,6.3278,1.02,2.0,K,OH,1.0,936.0
Co,Hollow Structures,113.9,6.3278,1.02,2.0,K,OH,2.0,883.2
Co,Hollow Structures,113.9,6.3278,1.02,2.0,K,OH,5.0,810.0
Co,Hollow Structures,113.9,6.3278,1.02,2.0,K,OH,10.0,746.0
Co,Hollow Structures,113.9,6.3278,1.02,2.0,K,OH,20.0,686.4
Co,Hollow Structures,56.6,6.36,0.45,8.0,K,OH,0.5,568.0
Co,Hollow Structures,56.6,6.36,0.45,8.0,K,OH,1.0,499.0
Co,Hollow Structures,56.6,6.36,0.45,8.0,K,OH,2.0,421.0
Co,Hollow Structures,56.6,6.36,0.45,8.0,K,OH,5.0,372.0
Co,Nanoparticles/Regular Shapes,67.08,26.6,,3.0,K,OH,1.0,426.6
Co,Nanoparticles/Regular Shapes,67.08,26.6,,3.0,K,OH,10.0,404.8
Ni,Nanoparticles/Regular Shapes,201.38,12.75,,3.0,K,OH,1.0,951.6
Ni,Nanoparticles/Regular Shapes,201.38,12.75,,3.0,K,OH,10.0,555.4
Ni,Nanoparticles/Regular Shapes,19.93,,0.11,6.0,K,OH,2.0,1072.6
Ni,Nanoparticles/Regular Shapes,19.93,,0.11,6.0,K,OH,3.0,912.7
Ni,Nanoparticles/Regular Shapes,19.93,,0.11,6.0,K,OH,5.0,744.6
Ni,Nanoparticles/Regular Shapes,19.93,,0.11,6.0,K,OH,7.0,618.5
Ni,Nanoparticles/Regular Shapes,19.93,,0.11,6.0,K,OH,10.0,480.7
Ni,Others,6.31,,1.288,1.0,K,OH,1.0,352.2
