Metal,Morphology,SSA,Dap,Rct,Molarity,Cation,Anion,CD,Cs
Sn,1,64.8,7.5,0.5,2.0,1,1,1.0,431.82
Sn,1,64.8,7.5,0.5,2.0,1,1,2.0,398.88
Sn,1,64.8,7.5,0.5,2.0,1,1,3.0,312.18
Sn,1,64.8,7.5,0.5,2.0,1,1,5.0,272.0
Sn,1,64.8,7.5,0.5,2.0,1,1,7.0,230.7
Sn,1,64.8,7.5,0.5,2.0,1,1,8.0,156.88
Sn,1,64.8,7.5,0.5,2.0,1,1,10.0,126.2
Sn,2,27.4,15.9,0.5,2.0,1,1,1.0,112.72
Sn,2,27.4,15.9,0.5,2.0,1,1,2.0,104.95
Sn,2,27.4,15.9,0.5,2.0,1,1,3.0,67.76
Sn,2,27.4,15.9,0.5,2.0,1,1,5.0,67.0
Sn,2,27.4,15.9,0.5,2.0,1,1,7.0,44.24
Sn,2,27.4,15.9,0.5,2.0,1,1,8.0,35.36
Sn,2,27.4,15.9,0.5,2.0,1,1,10.0,28.8
Sn,3,32.9,5.1,0.6,2.0,1,1,1.0,390.38
Sn,3,32.9,5.1,0.6,2.0,1,1,2.0,366.24
Sn,3,32.9,5.1,0.6,2.0,1,1,3.0,247.2
Sn,3,32.9,5.1,0.6,2.0,1,1,5.0,240.3
Sn,3,32.9,5.1,0.6,2.0,1,1,7.0,171.52
Sn,3,32.9,5.1,0.6,2.0,1,1,8.0,121.04
Sn,3,32.9,5.1,0.6,2.0,1,1,10.0,100.4
Sn,2,17.5,,,3.5,1,1,1.0,89.4
Sn,2,17.5,,,3.5,1,1,2.0,71.3
Sn,2,17.5,,,3.5,1,1,4.0,64.9
Sn,2,17.5,,,3.5,1,1,10.0,50.6
Sn,1,,,3.56,1.0,1,2,0.08,524.5
Sn,1,,,3.56,1.0,1,2,0.15,285.0
Sn,1,,,3.56,1.0,1,2,0.23,239.7
Sn,1,,,3.56,1.0,1,2,0.31,217.9
Sn,1,,,3.56,1.0,1,2,0.38,215.9
Sn,1,10.68,,3.69,1.0,1,2,1.0,125.0
Sn,3,52.44,12.6,2.13,2.0,1,1,1.0,464.0
Sn,3,52.44,12.6,2.13,2.0,1,1,1.5,440.0
Sn,3,52.44,12.6,2.13,2.0,1,1,2.0,424.0
Sn,3,52.44,12.6,2.13,2.0,1,1,2.5,408.0
Sn,3,52.44,12.6,2.13,2.0,1,1,3.0,400.0
Sn,3,52.44,12.6,2.13,2.0,1,1,5.0,320.0
Sn,4,25.0,6.08,,1.0,2,3,1.0,45.65
Sn,4,25.0,6.08,,1.0,3,3,1.0,18.4
Sn,4,25.0,6.08,,1.0,1,1,1.0,62.85
Sn,1,42.0,7.62,,1.0,2,3,1.0,112.0
Sn,1,42.0,7.62,,1.0,3,3,1.0,19.74
Sn,1,42.0,7.62,,1.0,1,1,1.0,89.14
Sn,4,72.4,,,1.0,3,1,3.0,165.2
Sn,4,72.4,,,1.0,3,1,3.5,160.0
Sn,4,72.4,,,1.0,3,1,5.0,131.3
Sn,4,72.4,,,1.0,3,1,10.0,122.0
Sn,4,72.4,,,1.0,3,1,20.0,108.0
Co,5,127.6,,8.2,2.0,1,1,1.0,1301.0
Co,5,127.6,,8.2,2.0,1,1,2.5,1073.0
Co,5,127.6,,8.2,2.0,1,1,5.0,883.0
Co,5,127.6,,8.2,2.0,1,1,10.0,650.0
Co,5,127.6,,8.2,2.0,1,1,20.0,450.0
Co,4,21.0,,,2.0,1,1,2.0,624.0
Co,1,66.416,,0.18,2.0,1,1,1.0,718.7
Co,1,66.416,,0.18,2.0,1,1,2.0,696.7
Co,1,66.416,,0.18,2.0,1,1,5.0,620.8
Co,1,66.416,,0.18,2.0,1,1,10.0,536.7
Co,1,66.416,,0.18,2.0,1,1,20.0,476.7
Co,3,29.3,,1.3,6.0,1,1,0.5,654.0
Co,3,29.3,,1.3,6.0,1,1,1.0,595.0
Co,3,29.3,,1.3,6.0,1,1,5.0,499.0
Co,4,36.31,53.25,,6.0,1,1,0.5,996.16
Co,4,36.31,53.25,,6.0,1,1,1.0,986.95
Co,4,36.31,53.25,,6.0,1,1,2.0,979.9
Co,4,36.31,53.25,,6.0,1,1,3.0,972.75
Co,4,36.31,53.25,,6.0,1,1,4.0,966.0
Co,4,36.31,53.25,,6.0,1,1,5.0,957.5
Co,5,113.9,6.3278,1.02,2.0,1,1,1.0,936.0
Co,5,113.9,6.3278,1.02,2.0,1,1,2.0,883.2
Co,5,113.9,6.3278,1.02,2.0,1,1,5.0,810.0
Co,5,113.9,6.3278,1.02,2.0,1,1,10.0,746.0
Co,5,113.9,6.3278,1.02,2.0,1,1,20.0,686.4
Co,5,56.6,6.36,0.45,8.0,1,1,0.5,568.0
Co,5,56.6,6.36,0.45,8.0,1,1,1.0,499.0
Co,5,56.6,6.36,0.45,8.0,1,1,2.0,421.0
Co,5,56.6,6.36,0.45,8.0,1,1,5.0,372.0
Co,3,67.08,26.6,,3.0,1,1,1.0,426.6
Co,3,67.08,26.6,,3.0,1,1,10.0,404.8
Ni,3,201.38,12.75,,3.0,1,1,1.0,951.6
Ni,3,201.38,12.75,,3.0,1,1,10.0,555.4
Ni,3,19.93,,0.11,6.0,1,1,2.0,1072.6
Ni,3,19.93,,0.11,6.0,1,1,3.0,912.7
Ni,3,19.93,,0.11,6.0,1,1,5.0,744.6
Ni,3,19.93,,0.11,6.0,1,1,7.0,618.5
Ni,3,19.93,,0.11,6.0,1,1,10.0,480.7
Ni,4,6.31,,1.288,1.0,1,1,1.0,352.2
Ni,4,6.31,,1.288,1.0,1,1,2.0,265.7
Ni,4,6.31,,1.288,1.0,1,1,5.0,183.6
Ni,4,6.31,,1.288,1.0,1,1,10.0,139.5
Ni,4,6.31,,1.288,1.0,1,1,20.0,106.8
Ni,4,6.31,,1.288,1.0,1,1,50.0,75.9
Ni,3,66.5,,4.27,6.0,1,1,0.5,566.0
Ni,3,66.5,,4.27,6.0,1,1,1.0,536.9
Ni,3,66.5,,4.27,6.0,1,1,2.0,382.7
Ni,3,66.5,,4.27,6.0,1,1,4.0,218.6
Ni,3,66.5,,4.27,6.0,1,1,6.0,112.9
Ni,3,66.5,,4.27,6.0,1,1,8.0,47.8
Ni,3,66.5,,4.27,6.0,1,1,10.0,28.8
Ni,3,31.2,12.5,14.83,1.0,4,3,1.0,565.0
Ni,3,31.2,12.5,14.83,1.0,4,3,4.0,543.7
Ni,3,31.2,12.5,14.83,1.0,4,3,8.0,500.7
Ni,3,31.2,12.5,14.83,1.0,4,3,10.0,486.3
Ni,3,31.2,12.5,14.83,1.0,4,3,20.0,400.7
Ni,5,59.2,24.4,0.24,6.0,1,1,1.0,1020.2
Ni,5,59.2,24.4,0.24,6.0,1,1,2.0,821.2
Ni,5,59.2,24.4,0.24,6.0,1,1,3.0,728.7
Ni,5,59.2,24.4,0.24,6.0,1,1,5.0,643.6
Ni,5,59.2,24.4,0.24,6.0,1,1,7.0,601.8
Ni,5,59.2,24.4,0.24,6.0,1,1,10.0,534.9
V,2,5.5,,,6.0,1,1,1.0,152.0
V,2,5.5,,,6.0,1,1,2.0,145.0
V,2,5.5,,,6.0,1,1,5.0,136.0
V,2,5.5,,,6.0,1,1,10.0,120.0
V,2,5.5,,,6.0,1,1,15.0,90.0
V,2,11.17,,4.87,0.5,1,3,0.2,22.4
V,2,11.17,,4.87,0.5,1,3,0.4,15.4
V,2,11.17,,4.87,0.5,1,3,0.6,12.6
V,2,11.17,,4.87,0.5,1,3,0.8,7.8
